Time: 0.98, Latitude: 47.397743771, Longitude 8.545596035, Altitude 488.66
Time: 1.08, Latitude: 47.397743751, Longitude 8.545594714, Altitude 488.69
Time: 1.18, Latitude: 47.397743751, Longitude 8.545594714, Altitude 488.69
Time: 1.28, Latitude: 47.397743987, Longitude 8.545595688, Altitude 487.37
Time: 1.38, Latitude: 47.397743262, Longitude 8.545594451, Altitude 489.6
Time: 1.48, Latitude: 47.397740252, Longitude 8.545588987, Altitude 489.05
Time: 1.58, Latitude: 47.397743983, Longitude 8.545596224, Altitude 487.7
Time: 1.68, Latitude: 47.397743983, Longitude 8.545596224, Altitude 487.7
Time: 1.78, Latitude: 47.39774327, Longitude 8.545593148, Altitude 488.38
Time: 1.88, Latitude: 47.397742322, Longitude 8.545594773, Altitude 487.7
Time: 1.98, Latitude: 47.397744073, Longitude 8.54559353, Altitude 488.24
Time: 2.08, Latitude: 47.397742641, Longitude 8.545595854, Altitude 487.44
Time: 2.18, Latitude: 47.397742641, Longitude 8.545595854, Altitude 487.44
Time: 2.28, Latitude: 47.397744014, Longitude 8.545592319, Altitude 488.05
Time: 2.38, Latitude: 47.397743465, Longitude 8.545595658, Altitude 489.41
Time: 2.48, Latitude: 47.397739491, Longitude 8.545591416, Altitude 489.07
Time: 2.58, Latitude: 47.397743564, Longitude 8.545596529, Altitude 487.68
Time: 2.68, Latitude: 47.397743564, Longitude 8.545596529, Altitude 487.68
Time: 2.78, Latitude: 47.397742579, Longitude 8.545594922, Altitude 488.58
Time: 2.88, Latitude: 47.397743502, Longitude 8.545594266, Altitude 488.4
Time: 2.98, Latitude: 47.397743034, Longitude 8.545597561, Altitude 488.99
Time: 3.08, Latitude: 47.397743034, Longitude 8.545597561, Altitude 488.99
Time: 3.18, Latitude: 47.397742904, Longitude 8.545594495, Altitude 488.08
Time: 3.28, Latitude: 47.397742719, Longitude 8.545591642, Altitude 488.6
Time: 3.38, Latitude: 47.397745564, Longitude 8.545594116, Altitude 488.15
Time: 3.48, Latitude: 47.397741237, Longitude 8.545591525, Altitude 488.51
Time: 3.58, Latitude: 47.397741237, Longitude 8.545591525, Altitude 488.51
Time: 3.68, Latitude: 47.397742143, Longitude 8.545594085, Altitude 487.5
Time: 3.78, Latitude: 47.397745439, Longitude 8.545594732, Altitude 488.41
Time: 3.88, Latitude: 47.397746982, Longitude 8.54559011, Altitude 487.45
Time: 3.98, Latitude: 47.397744294, Longitude 8.545596766, Altitude 487.9
Time: 4.08, Latitude: 47.397744294, Longitude 8.545596766, Altitude 487.9
Time: 4.18, Latitude: 47.397741776, Longitude 8.545592704, Altitude 489.37
Time: 4.28, Latitude: 47.397740662, Longitude 8.545591368, Altitude 488.52
Time: 4.38, Latitude: 47.397742136, Longitude 8.545594254, Altitude 488.59
Time: 4.48, Latitude: 47.397742136, Longitude 8.545594254, Altitude 488.59
Time: 4.58, Latitude: 47.397745858, Longitude 8.545595278, Altitude 488.52
Time: 4.68, Latitude: 47.397745382, Longitude 8.545594048, Altitude 487.46
Time: 4.78, Latitude: 47.397744039, Longitude 8.545594193, Altitude 488.14
Time: 4.88, Latitude: 47.397740174, Longitude 8.545599211, Altitude 487.19
Time: 4.98, Latitude: 47.397740174, Longitude 8.545599211, Altitude 487.19
Time: 5.08, Latitude: 47.397745536, Longitude 8.545593519, Altitude 488.15
Time: 5.18, Latitude: 47.397744603, Longitude 8.545597773, Altitude 488.6
Time: 5.28, Latitude: 47.397745388, Longitude 8.545593363, Altitude 488.09
Time: 5.38, Latitude: 47.397745388, Longitude 8.545593363, Altitude 488.09
Time: 5.48, Latitude: 47.397744345, Longitude 8.54559494, Altitude 487.97
Time: 5.58, Latitude: 47.397744041, Longitude 8.545595787, Altitude 488.55
Time: 5.68, Latitude: 47.397744041, Longitude 8.545595787, Altitude 488.55
Time: 5.78, Latitude: 47.397743605, Longitude 8.545595863, Altitude 488.35
Time: 5.88, Latitude: 47.397746818, Longitude 8.545596345, Altitude 488.16
Time: 5.98, Latitude: 47.397742443, Longitude 8.545598582, Altitude 487.6
Time: 6.08, Latitude: 47.397746376, Longitude 8.545595148, Altitude 488.77
Time: 6.18, Latitude: 47.397747487, Longitude 8.545600986, Altitude 489.14
Time: 6.28, Latitude: 47.397747487, Longitude 8.545600986, Altitude 489.14
Time: 6.38, Latitude: 47.397742508, Longitude 8.545597843, Altitude 490.0
Time: 6.48, Latitude: 47.397748314, Longitude 8.545600234, Altitude 489.96
Time: 6.58, Latitude: 47.397744343, Longitude 8.545597409, Altitude 490.13
Time: 6.68, Latitude: 47.397745062, Longitude 8.545596738, Altitude 489.73
Time: 6.79, Latitude: 47.397745062, Longitude 8.545596738, Altitude 489.73
Time: 6.88, Latitude: 47.397746059, Longitude 8.545597802, Altitude 490.61
Time: 6.98, Latitude: 47.397748167, Longitude 8.545595714, Altitude 489.74
Time: 7.08, Latitude: 47.397745721, Longitude 8.545598806, Altitude 491.0
Time: 7.18, Latitude: 47.397745721, Longitude 8.545598806, Altitude 491.0
Time: 7.28, Latitude: 47.397742674, Longitude 8.54559429, Altitude 491.32
Time: 7.38, Latitude: 47.39774697, Longitude 8.545595834, Altitude 491.63
Time: 7.48, Latitude: 47.397745428, Longitude 8.545596896, Altitude 492.25
Time: 7.58, Latitude: 47.397745428, Longitude 8.545596896, Altitude 492.25
Time: 7.68, Latitude: 47.397743763, Longitude 8.545595756, Altitude 491.31
Time: 7.78, Latitude: 47.39775094, Longitude 8.545596114, Altitude 491.82
Time: 7.88, Latitude: 47.397744284, Longitude 8.545597202, Altitude 491.57
Time: 7.98, Latitude: 47.397746694, Longitude 8.545599233, Altitude 492.11
Time: 8.08, Latitude: 47.397746694, Longitude 8.545599233, Altitude 492.11
Time: 8.18, Latitude: 47.397745887, Longitude 8.54559274, Altitude 492.25
