Time: 0.89, Latitude: 0.0, Longitude 0.0, Altitude 0.0
Time: 0.99, Latitude: 47.397741431, Longitude 8.545595474, Altitude 488.79
Time: 1.09, Latitude: 47.397742101, Longitude 8.545590925, Altitude 488.73
Time: 1.19, Latitude: 47.397740703, Longitude 8.545595791, Altitude 488.66
Time: 1.29, Latitude: 47.397740703, Longitude 8.545595791, Altitude 488.66
Time: 1.39, Latitude: 47.397744971, Longitude 8.545596102, Altitude 488.05
Time: 1.49, Latitude: 47.397743521, Longitude 8.545592669, Altitude 487.46
Time: 1.59, Latitude: 47.397741345, Longitude 8.545595077, Altitude 488.49
Time: 1.69, Latitude: 47.397740953, Longitude 8.545592753, Altitude 487.23
Time: 1.79, Latitude: 47.397740953, Longitude 8.545592753, Altitude 487.23
Time: 1.89, Latitude: 47.397746287, Longitude 8.545597893, Altitude 488.37
Time: 1.99, Latitude: 47.397743436, Longitude 8.545597345, Altitude 488.85
Time: 2.09, Latitude: 47.397743924, Longitude 8.545592658, Altitude 488.06
Time: 2.19, Latitude: 47.397743924, Longitude 8.545592658, Altitude 488.06
Time: 2.29, Latitude: 47.397742911, Longitude 8.545593865, Altitude 488.34
Time: 2.39, Latitude: 47.397741578, Longitude 8.545595965, Altitude 488.39
Time: 2.49, Latitude: 47.397741898, Longitude 8.545593552, Altitude 488.7
Time: 2.59, Latitude: 47.397743103, Longitude 8.545593136, Altitude 488.72
Time: 2.69, Latitude: 47.397743103, Longitude 8.545593136, Altitude 488.72
Time: 2.79, Latitude: 47.397740096, Longitude 8.54559407, Altitude 488.17
Time: 2.89, Latitude: 47.397744857, Longitude 8.545594742, Altitude 488.69
Time: 2.99, Latitude: 47.397744036, Longitude 8.545596742, Altitude 488.33
Time: 3.09, Latitude: 47.397744036, Longitude 8.545596742, Altitude 488.33
Time: 3.19, Latitude: 47.39774451, Longitude 8.545595327, Altitude 487.81
Time: 3.29, Latitude: 47.397745215, Longitude 8.54559828, Altitude 487.47
Time: 3.39, Latitude: 47.397743459, Longitude 8.5455941, Altitude 487.93
Time: 3.49, Latitude: 47.397742955, Longitude 8.545594925, Altitude 487.78
Time: 3.59, Latitude: 47.397742955, Longitude 8.545594925, Altitude 487.78
Time: 3.69, Latitude: 47.397745361, Longitude 8.545596385, Altitude 488.41
Time: 3.79, Latitude: 47.397741485, Longitude 8.545594046, Altitude 488.13
Time: 3.89, Latitude: 47.397742044, Longitude 8.545592277, Altitude 487.84
Time: 3.99, Latitude: 47.397742044, Longitude 8.545592277, Altitude 487.84
Time: 4.09, Latitude: 47.397740915, Longitude 8.545598996, Altitude 487.86
Time: 4.2, Latitude: 47.397741566, Longitude 8.545595562, Altitude 489.34
Time: 4.29, Latitude: 47.397742028, Longitude 8.54559332, Altitude 487.93
Time: 4.39, Latitude: 47.397745737, Longitude 8.545592772, Altitude 488.25
Time: 4.49, Latitude: 47.397745737, Longitude 8.545592772, Altitude 488.25
Time: 4.59, Latitude: 47.397740907, Longitude 8.545595526, Altitude 488.36
Time: 4.69, Latitude: 47.3977424, Longitude 8.545592021, Altitude 488.8
Time: 4.79, Latitude: 47.397744121, Longitude 8.545596878, Altitude 487.58
Time: 4.89, Latitude: 47.397744121, Longitude 8.545596878, Altitude 487.58
Time: 4.99, Latitude: 47.397740542, Longitude 8.5455959, Altitude 488.76
Time: 5.09, Latitude: 47.39774396, Longitude 8.545595536, Altitude 488.21
Time: 5.19, Latitude: 47.39774301, Longitude 8.545594575, Altitude 487.73
Time: 5.29, Latitude: 47.397742558, Longitude 8.545595281, Altitude 488.28
Time: 5.39, Latitude: 47.397742558, Longitude 8.545595281, Altitude 488.28
